,fecha,cantidad
359,6/9/2022,74
360,10/26/2021,27
361,7/19/2021,83
362,8/10/2021,86
363,11/17/2021,8
364,12/11/2021,17
365,1/28/2022,4
366,8/5/2021,41
367,12/10/2021,9
368,7/17/2021,61
369,4/30/2022,80
370,6/18/2022,92
371,10/11/2021,53
372,11/19/2021,57
373,7/14/2021,5
374,10/12/2021,92
375,2/20/2022,51
376,9/18/2021,12
377,7/19/2021,72
378,6/29/2021,8
379,1/5/2022,25
380,8/6/2021,40
381,5/17/2022,13
382,12/9/2021,77
383,6/24/2021,33
384,5/10/2022,91
385,6/19/2022,89
386,11/10/2021,75
387,11/21/2021,18
388,2/15/2022,83
389,3/4/2022,91
390,12/7/2021,12
391,12/19/2021,55
392,7/9/2021,89
393,5/3/2022,22
394,4/30/2022,86
395,2/3/2022,53
396,3/3/2022,65
397,1/13/2022,16
398,4/11/2022,49
399,7/5/2021,69
400,7/16/2021,35
401,7/26/2021,15
402,5/6/2022,42
403,11/3/2021,41
404,5/28/2022,25
405,3/10/2022,64
406,8/24/2021,80
407,6/26/2021,69
408,5/14/2022,65
409,8/26/2021,3
410,12/22/2021,43
411,4/10/2022,83
412,6/22/2021,33
413,6/6/2022,3
414,10/30/2021,36
415,4/30/2022,74
416,1/4/2022,82
417,2/20/2022,13
418,5/5/2022,62
419,10/2/2021,94
420,12/15/2021,29
421,7/1/2021,100
422,6/29/2021,7
423,10/5/2021,15
424,2/17/2022,59
425,1/21/2022,94
426,11/7/2021,70
427,2/28/2022,24
428,3/11/2022,25
429,4/20/2022,30
430,6/10/2022,90
431,11/26/2021,5
432,9/7/2021,31
433,8/10/2021,99
434,10/9/2021,9
435,8/24/2021,75
436,6/9/2022,72
437,1/9/2022,60
438,2/25/2022,46
439,4/7/2022,78
440,12/4/2021,22
441,6/19/2022,82
442,4/22/2022,91
443,1/14/2022,24
444,7/20/2021,33
445,6/8/2022,35
446,8/8/2021,78
447,8/25/2021,21
448,9/10/2021,68
449,1/1/2022,59
450,8/16/2021,6
451,7/30/2021,72
452,8/18/2021,91
453,1/12/2022,1
454,6/2/2022,48
455,1/29/2022,9
456,10/29/2021,72
457,3/16/2022,90
458,1/6/2022,26
459,12/23/2021,98
460,4/27/2022,99
461,3/27/2022,30
462,5/21/2022,85
463,11/15/2021,36
464,7/31/2021,44
465,7/23/2021,87
466,7/8/2021,90
467,4/12/2022,94
468,7/30/2021,48
469,2/13/2022,40
470,7/8/2021,60
471,6/19/2022,4
472,11/13/2021,9
473,3/8/2022,24
474,2/9/2022,80
475,4/6/2022,100
476,12/2/2021,83
477,11/12/2021,16
478,3/22/2022,16
479,6/1/2022,56
480,3/23/2022,26
481,2/9/2022,18
482,9/16/2021,66
483,3/28/2022,15
484,2/9/2022,7
485,1/2/2022,91
486,9/6/2021,30
487,1/26/2022,94
488,5/15/2022,65
489,12/5/2021,54
490,9/20/2021,97
491,7/18/2021,82
492,2/23/2022,86
493,1/24/2022,34
494,1/15/2022,38
495,5/31/2022,45
496,5/16/2022,26
497,5/7/2022,89
498,9/25/2021,81
499,5/29/2022,45
